,index,0
404,better,1
405,better.,1
407,beyond,1
410,bill,1
412,"billion,",1
414,"billions,",1
415,bills,1
417,blocking,1
418,blocks.,1
419,boost,1
420,border,1
422,borders,1
424,branch,1
477,concluded,1
479,conditions.,1
566,drain,1
541,directly,1
521,deals,1
522,"death,",1
524,"decades,",1
525,decades.,1
526,decision!,1
527,decision.,1
528,deduct,1
531,destroy,1
532,detained,1
534,development,1
535,devoted,1
539,died,1
540,died.,1
542,discussion,1
480,considered,1
543,"discussions,",1
544,disgraceful,1
546,dishonest!,1
548,doctor,1
549,documentation.,1
552,doesn’t,1
558,done,1
559,"done,",1
560,don’t,1
561,double,1
562,doubled,1
564,down!,1
565,"down,",1
519,"deal,",1
518,dead,1
517,days,1
516,day,1
481,"contract,",1
483,contribute,1
484,contributions,1
485,control.,1
486,conversation.,1
487,corporate,1
488,correct,1
489,corruption,1
490,cost-cutting,1
491,countries,1
492,"countries,",1
493,countries.,1
495,"country,",1
496,country.,1
497,court.,1
500,coverage.,1
502,crazy,1
503,crazy.,1
504,create,1
505,created,1
506,creating,1
507,crime.,1
508,critic,1
510,crowds,1
511,"crushing,",1
513,currency.,1
515,cutting,1
1351,‘wires,1
